,PM,date,publish_date,activities
2000,Shinzo_Abe,8月2日,2018-08-03,▽7時39分　公邸発。49分　ＪＲ東京駅。▽9時30分　はやぶさ103号でＪＲ仙台駅。吉野復興相同行。32分　同駅応接室で村井嘉浩宮城県知事ら。▽10時11分　同県利府町の三陸自動車道春日パーキングエリア。休憩。51分　同県石巻市の水産加工会社「湊水産」。亀山紘市長出迎え。同社内の工場や保育園を視察。園児らと交流。▽11時36分　同市の仮設団地「南境第7団地」。ハンドマッサージ体験。住民と懇談。▽12時8分　同市の生鮮食品市場「いしのまき元気いちば」。復興相、市長らと昼食。ノドグロと生ウニを購入。ホヤを試食。▽13時13分　同県東松島市の農業法人「イグナルファーム」。キュウリなどの収穫体験、試食。36分　同市役所。他自治体からの応援職員を激励、記念撮影。▽14時　同市の東日本大震災復興祈念公園。慰霊碑に献花、黙礼。学生語り部グループ「ＴＴＴ」と懇談。26分　報道各社のインタビュー。53分　利府町の三陸道春日パーキングエリア。飲み物を購入。▽15時34分　ＪＲ仙台駅。同駅応接室で復興相ら。▽17時34分　はやぶさ26号でＪＲ東京駅。50分　官邸。▽18時1分　豪雨非常災害対策本部会議。伊原木隆太岡山県知事、湯崎英彦広島県知事、中村時広愛媛県知事から要望書受け取り。45分　東京・赤坂の中国料理店「赤坂飯店」。党山口県連青年部・青年局の会合に出席。岸信夫同県連会長ら同席。▽19時11分　東京・永田町のザ・キャピトルホテル東急。レストラン「ＯＲＩＧＡＭＩ」で長谷川首相補佐官、中江財務省関税局長、秘書官と会食。▽21時30分　東京・富ケ谷の私邸。 
2812,Yoshihide_Suga,11月15日,2020-11-16,▽10時15分　東京・赤坂の衆院議員宿舎発。19分　官邸。24分　岡部参与。▽12時30分　東アジアの地域的な包括的経済連携（ＲＣＥＰ）首脳会合にテレビ会議方式で出席。梶山経産相同席。▽13時39分　ＲＣＥＰ協定署名式に同席。▽14時29分　衆院第2議員会館。55分　東京・九段北の「グローバル治療院　Ｔｈｅ　Ｃｌａｓｓ九段」。マッサージなど。▽17時28分　東京・虎ノ門のホテル「Ｔｈｅ　Ｏｋｕｒａ　Ｔｏｋｙｏ」。レストラン「オーキッド」で秘書官と食事。▽19時10分　東京・赤坂の衆院議員宿舎。 
2825,Yoshihide_Suga,11月28日,2020-11-29,▽9時22分　東京・赤坂の衆院議員宿舎発。25分　官邸。46分　陸上自衛隊ヘリコプターで埼玉県狭山市の航空自衛隊入間基地。木原補佐官同行。59分　航空観閲式に出席。訓示。▽10時40分　空自中部航空方面隊司令部から状況報告。岸防衛相、防衛省の島田次官、芹沢官房長、山崎統合幕僚長、井筒航空幕僚長ら同席。▽11時　防衛相、防衛省航空幕僚長。5分　オペレーションセンターや戦闘機などを視察。▽12時18分　同基地内の空輸ターミナルで防衛相、防衛省の次官、官房長、統合幕僚長、航空幕僚長らと会食。▽13時18分　陸自ヘリで官邸屋上ヘリポート。▽14時1分　東京・永田町のザ・キャピトルホテル東急。中国料理店「星ケ岡」で経済ジャーナリストの財部誠一氏と懇談。58分　東京・九段北の「グローバル治療院　Ｔｈｅ　Ｃｌａｓｓ九段」。マッサージなど。▽17時26分　東京・赤坂の衆院議員宿舎。 
3248,Fumio_Kishida,2月5日,2022-02-06,▽11時1分　公邸発。29分　東京・田園調布の故石原慎太郎元東京都知事宅。弔問。34分　報道各社のインタビュー。▽12時4分　公邸。▽14時3分　東京・銀座のリラクセーションサロン「クイーンズウェイ銀座並木通り店」。マッサージ。▽15時59分　公邸。 
3303,Fumio_Kishida,4月3日,2022-04-04,　午前中は来客なく、公邸で過ごす。▽13時40分　中国新聞のインタビュー。▽14時1分　木原、栗生両官房副長官、村田内閣危機管理監、秋葉国家安全保障局長、滝沢内閣情報官、外務省の森次官、宇山欧州局長、増田防衛省防衛政策局長。17分　神田財務官、保坂資源エネルギー庁長官加わる。▽15時32分　東京・銀座のリラクセーションサロン「クイーンズウェイ銀座並木通り店」。マッサージ。▽16時56分　公邸。 
3337,Fumio_Kishida,5月8日・9日,2022-05-10,〈8日〉　午前中は来客なく、公邸で過ごす。▽14時7分　東京・銀座のリラクセーションサロン「クイーンズウェイ銀座並木通り店」。マッサージ。▽16時15分　東京・鍛冶町の「ヘア　モード　キクチ神田日銀通り店」。散髪。▽18時16分　公邸。〈9日〉▽0時2分　主要7カ国（Ｇ7）首脳テレビ会議。▽1時15分　会議終了。▽9時26分　公邸から官邸。27分　報道各社のインタビュー。37分　日韓議員連盟の額賀福志郎会長、武田良太幹事長。54分　皇居。帰国の記帳。▽10時9分　官邸。26分　イゲ米ハワイ州知事。世耕参院幹事長、松山政司参院議員同席。54分　末松文科相、義本文科次官。▽11時51分　松野、木原、磯崎、栗生正副官房長官、村田内閣危機管理監、秋葉国家安全保障局長、滝沢内閣情報官、外務省の森次官、宇山欧州局長、増田防衛省防衛政策局長。56分　神田財務官、保坂資源エネルギー庁長官加わる。▽12時11分　国家安全保障局長、内閣情報官。39分　西銘沖縄・北方相、原内閣府政策統括官。▽15時1分　北京冬季五輪・パラリンピック日本選手団に感謝状授与。記念撮影。▽16時26分　党本部。27分　麻生副総裁、茂木幹事長。▽17時4分　党役員会。30分　官邸。▽18時3分　公邸。4分　週刊新潮の企画用にジャーナリストの桜井よしこ氏と対談。▽19時38分　桜井氏出る。 
3404,Fumio_Kishida,7月16日,2022-07-17,▽11時52分　公邸発。▽12時31分　横浜市西区の国際会議場「パシフィコ横浜ノース」。日本青年会議所主催の「サマーコンファレンス2022」に出席し、中島土会頭と対談。▽14時15分　東京・銀座のリラクセーションサロン「クイーンズウェイ銀座並木通り店」。マッサージ。▽16時21分　東京・鍛冶町の「ヘア　モード　キクチ神田日銀通り店」。散髪。▽18時32分　東京・西五反田の桐ケ谷斎場。故藤井裕久元財務相の通夜に参列。49分　公邸。▽19時54分　東京・麻布十番の焼き鳥店「中目黒いぐち麻布十番店」。裕子夫人と食事。▽22時7分　公邸。 
3459,Fumio_Kishida,9月11日、12日,2022-09-13,〈11日〉　午前中は来客なく、公邸で過ごす。▽13時3分　東京・銀座のリラクセーションサロン「クイーンズウェイ銀座並木通り店」。マッサージ。▽15時8分　東京・鍛冶町の「ヘア　モード　キクチ神田日銀通り店」。散髪。▽17時1分　公邸。〈12日〉▽9時　公邸から官邸。▽10時14分　東京・紀尾井町のホテルニューオータニ。宴会場「鶴の間」で日本遺族会創立75周年記念式典に出席し、あいさつ。▽11時52分　官邸。▽12時1分　森山選対委員長と会食。▽13時25分　西村経産相、山田外務副大臣、松尾経産省通商政策局長。50分　加藤厚労相。▽14時15分　浜田防衛相、秋葉国家安全保障局長、防衛省の鈴木次官、山崎統合幕僚長、井筒航空幕僚長。47分　国家安全保障局長、森外務次官。▽15時7分　鈴木賢日本医薬品卸売業連合会会長。▽16時2分　ＢＳテレ東の報道番組の収録。37分　神田財務官。▽17時20分　小野田内閣府賞勲局長。40分　サウジアラビアのムハンマド・ビン・サルマン皇太子と電話。▽18時16分　東京・麻布台の「東京アメリカンクラブ」。日本女性エグゼクティブ協会のセミナーに出席し、あいさつ。52分　東京・丸の内のパレスホテル東京。中国料理店「琥珀宮」で遠藤総務会長、江渡総務会長代行と会食。▽21時22分　公邸。 
3513,Fumio_Kishida,11月6日,2022-11-07,▽9時53分　公邸から官邸。▽10時30分　海上自衛隊ヘリコプターで相模湾上の海自護衛艦「いずも」。▽11時10分　国際観艦式に出席し観閲。▽12時50分　隊員らに訓示。▽14時6分　海自ヘリで米海軍の原子力空母「ロナルド・レーガン」。エマニュエル駐日米大使ら出迎え。懇談。14分　艦内視察。浜田防衛相同行。▽15時18分　海自ヘリで官邸屋上ヘリポート。22分　公邸。▽16時52分　東京・銀座のリラクセーションサロン「クイーンズウェイ銀座並木通り店」。マッサージ。▽18時52分　公邸。 
3552,Fumio_Kishida,12月17日,2022-12-18,　午前中は来客なく、公邸で過ごす。▽14時3分　東京・銀座のリラクセーションサロン「クイーンズウェイ銀座並木通り店」。マッサージ。▽16時9分　東京・鍛冶町の「ヘア　モード　キクチ神田日銀通り店」。散髪。▽18時4分　公邸。 
3565,Fumio_Kishida,12月30日,2022-12-31,　午前中は来客なく、公邸で過ごす。▽14時34分　東京・日本橋兜町の東京証券取引所。35分　脚本家の三谷幸喜氏、清田瞭日本取引所グループ（ＪＰＸ）最高経営責任者（ＣＥＯ）、山道裕己東京証券取引所社長。▽15時1分　ＪＰＸの大納会式典に出席し、あいさつ。32分　東京・銀座のリラクセーションサロン「クイーンズウェイ銀座並木通り店」。マッサージ。▽17時46分　公邸。 
3661,Fumio_Kishida,4月8日,2023-04-09,▽10時40分　公邸発。▽11時　東京・雷門の「台東歯科クリニック」。歯のクリーニング。▽12時3分　公邸。▽13時47分　東京・銀座のリラクセーションサロン「クイーンズウェイ銀座並木通り店」。マッサージ。▽16時5分　公邸。 
3745,Fumio_Kishida,7月1日,2023-07-02,▽10時13分　公邸発。31分　東京・雷門の「台東歯科クリニック」。歯の定期検診。▽11時38分　公邸。▽13時28分　東京・銀座のリラクセーションサロン「クイーンズウェイ銀座並木通り店」。マッサージ。▽15時28分　公邸。 
